profesor,curso,anio,fuente,pregunta
Prof_A,Microeconomia,2024,examen_pasado,Explique con un ejemplo cómo un impuesto específico desplaza la curva de oferta y quién soporta la carga tributaria.
Prof_A,Microeconomia,2024,examen_pasado,Analice el efecto de un precio máximo por debajo del equilibrio sobre el excedente del consumidor y del productor.
Prof_A,Microeconomia,2023,examen_pasado,Explique la diferencia entre elasticidad precio de la demanda en el corto y en el largo plazo.
Prof_A,Microeconomia,2023,examen_pasado,Analice por qué un monopolista produce menos y cobra más que un mercado competitivo.
Prof_A,Microeconomia,2024,muestra,Explique el concepto de costo de oportunidad usando una decisión cotidiana de un estudiante.
Prof_A,Microeconomia,2023,muestra,Analice las consecuencias de un subsidio a la producción sobre el bienestar social.
Prof_A,Microeconomia,2024,muestra,Explique cómo se determina el equilibrio en un mercado de competencia perfecta.
Prof_A,Microeconomia,2023,examen_pasado,Analice el impacto de un aumento del salario mínimo en el mercado laboral de baja calificación.
Prof_B,Microeconomia,2024,examen_pasado,Demuestre matemáticamente que en el óptimo del consumidor la relación marginal de sustitución iguala el cociente de precios.
Prof_B,Microeconomia,2024,examen_pasado,Compare el equilibrio de Cournot y el de Bertrand en un duopolio e indique cuál genera mayor producción.
Prof_B,Microeconomia,2023,examen_pasado,Demuestre que la curva de costo marginal corta a la de costo medio en su punto mínimo.
Prof_B,Microeconomia,2023,examen_pasado,Compare los efectos de un impuesto a la cantidad frente a un impuesto ad valorem sobre el equilibrio de mercado.
Prof_B,Microeconomia,2024,muestra,Demuestre formalmente la condición de maximización de beneficio de una empresa competitiva.
Prof_B,Microeconomia,2023,muestra,Compare el excedente total bajo monopolio y bajo competencia perfecta para una misma demanda lineal.
Prof_B,Microeconomia,2024,muestra,Derive la función de demanda de un consumidor con utilidad Cobb-Douglas.
Prof_B,Microeconomia,2023,examen_pasado,Demuestre cómo cambia el equilibrio de mercado ante un desplazamiento simultáneo de oferta y demanda.
